Price,Bedroom,Bathroom,Floors,Parking,Views,Amenities,Interest
900000,6,3,2,10,17,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Modular Kitchen', 'Garden', 'Water Supply', 'Drainage', 'Water Tank', 'Wifi', 'Water Well', 'Solar Water', 'TV Cable']",105
800000,Five,3,2,9,26,"['Parking', 'Garage', 'Fencing', 'Frontyard', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']",87
700000,5,3,2,12,154,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']",56
110000,3,4,3,1,317,"['Parking', 'Balcony']",9
500000,5,4,2,9,618,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'TV Cable', 'Solar Water', 'Water Tank', 'Water Well']",21
325000,6,4,2.5,1,2600,"['Balcony', 'Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",22
320000,4,5,3,3,922,"['Parking', 'Backyard']",25
399000,5,4,3,1,592,"['Parking', 'Balcony', 'Internet']",45
150000,2,2,1,1,766,['Parking'],6
525000,5,5,3,3,872,"['Parking', 'Garage', 'Modular Kitchen', 'Microwave', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well']",26
265000,6,6,3,1,1100,['Parking'],22
255000,6,6,3,1,1600,['Parking'],34
330000,6,4,2.5,1,2800,"['Lawn', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']",43
185000,4,4,,3,404,['Parking'],19
620000,7,4,,3,164,[],82
205000,7,3,3,1,3200,"['Lawn', 'Balcony', 'Fencing', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'CCTV', 'Internet', 'Parking', 'Store Room']",19
550000,5,6,3,4,253,"['Parking', 'Garden']",45
240000,4,4,2.5,1,510,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking']",9
370000,6,6,3,3,178,"['Parking', 'Garage']",12
220000,7,4,3.5,2,981,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",42
585000,6,6,3,2,318,"['Parking', 'Garage']",97
185000,4,3,2.5,1,596,"['Lawn', 'Balcony', 'Fencing', 'Drainage', 'Water Supply', 'Water Tank', 'Store Room']",15
210000,4,3,2.5,1,466,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",23
175000,5,3,3,1,157,"['Parking', 'Balcony', 'Water Tank', 'Water Well', 'Drainage', 'Internet', 'Wifi', 'TV Cable']",16
275000,6,5,3,1,971,['Parking'],46
400000,7,7,4,2,151,['Parking'],42
265000,6,6,3,2,282,['Parking'],47
225000,6,6,3,1,66,['Parking'],8
600000,6,6,3,4,157,['Parking'],61
400000,9,6,4,3,71,['Parking'],42
300000,6,5,3,1,136,"['Parking', 'Garage', 'Balcony', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water', 'Water Tank']",45
650000,6,6,3,4,108,"['Parking', 'Garage', 'Air Condition', 'Microwave', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water', 'Water Tank']",76
330000,5,6,3,2,150,"['Parking', 'Garden']",35
305000,5,5,2,1,112,['Parking'],44
140000,2,2,1,1,1700,['Parking'],2
280000,6,6,3,1,100,['Parking'],12
270000,6,6,3,2,161,"['Parking', 'Garage']",42
220000,5,5,3,1,139,['Parking'],36
370000,5,5,3,3,168,"['Parking', 'Garage', 'Frontyard', 'Water Supply', 'Drainage', 'Solar Water', 'Water Tank']",39
460000,4,3,2.5,1,5600,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",35
225000,5,3,3,1,274,"['Parking', 'Balcony', 'Water Well', 'Store Room', 'Frontyard', 'Garden', 'Water Supply', 'Solar Water', 'TV Cable']",12
290000,3,3,2,2,1400,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Microwave', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Washing Machine', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet']",8
310000,3,4,3,1,209,"['Fencing', 'Modular Kitchen', 'Frontyard', 'Backyard']",61
375000,5,5,3,2,162,"['Parking', 'Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Solar Water', 'Internet', 'Store Room', 'Wifi']",42
130000,2,1,1,1,588,['Parking'],21
800000,4,5,,4,726,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank']",91
250000,3,4,2,2,688,"['Parking', 'Balcony', 'Modular Kitchen', 'Fencing', 'Water Tank', 'Water Supply', 'Drainage']",52
325000,4,4,2,4,374,"['Parking', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet', 'Store Room']",22
